name,length,accuracy,precision,recall,sensitivity,specificity,f1,mcc
archiveII_tmRNA_uncu.bact._TRW-383630-1_1-364.bpseq,364,0.99975765,0.86875,0.71649486,0.71649486,0.999933,0.7853107,0.7888415455818176
RNAStrAlign_Sta.S1199.bpseq,317,0.99961734,0.7108434,0.6210526,0.6210526,0.9998469,0.6629213,0.6642436385154724
"RNAStrAlign_Ama.m.COB,4_p1.bpseq",288,0.9996652,0.688,0.56578946,0.56578946,0.9998756,0.62093866,0.6237455606460571
RNAStrAlign_SM-A10_12.bpseq,335,0.9999012,0.9811321,0.84782606,0.84782606,0.9999904,0.909621,0.9120001792907715
bprna1m_bpRNA_RFAM_36369.bpseq,316,0.99921554,0.5125,0.328,0.328,0.9997511,0.4,0.40963006019592285
RNAStrAlign_Gpr.S1199_p1.bpseq,426,0.999375,0.6869159,0.5326087,0.5326087,0.99978614,0.59999996,0.6045587658882141
bprnanew_URS0000D66FE4_12908_1-271.bpseq,271,0.99958867,0.21782178,0.30555555,0.30555555,0.99974805,0.25433528,0.2577849328517914
TrainSetA_2190.bpseq,461,0.9987277,0.18222222,0.16015625,0.16015625,0.9994128,0.17047817,0.17019855976104736
TrainSetA_2008.bpseq,345,0.99985015,0.8994975,0.86893207,0.86893207,0.99993616,0.88395065,0.8840078115463257
bprna1m_bpRNA_RFAM_25064.bpseq,331,0.9994165,0.10526316,0.09259259,0.09259259,0.99972886,0.09852217,0.09843367338180542
bprna1m_bpRNA_RFAM_36187.bpseq,267,0.9993176,0.35526314,0.31764707,0.31764707,0.9996873,0.33540374,0.3355887234210968
bprna1m_bpRNA_RFAM_35822.bpseq,404,0.9995759,0.6185567,0.3846154,0.3846154,0.999882,0.47430834,0.4875609278678894
bprna1m_bpRNA_RFAM_16632.bpseq,333,0.9988329,6.25e-14,4.854369e-14,4.854369e-14,0.9994895,5.464481e-14,-0.0005792566807940602
RNASTRAND_TMR_00296.bpseq,372,0.99976724,0.95555556,0.65816325,0.65816325,0.99998087,0.7794562,0.792939305305481
archiveII_RNaseP_L.japonicus-IFO15385.bpseq,326,0.999729,0.8176101,0.6989247,0.6989247,0.9999075,0.7536232,0.7558090090751648
TestSetA_503.bpseq,342,0.99955994,0.5714286,0.63414633,0.63414633,0.99975115,0.60115606,0.6017522215843201
RNAStrAlign_Gald.sulp._GSP-130081.bpseq,299,0.9995089,0.66071427,0.38947368,0.38947368,0.99987876,0.4900662,0.5070568323135376
RNAStrAlign_Dul.L798.bpseq,423,0.99955356,0.8,0.5984252,0.5984252,0.9998787,0.6846847,0.6916996836662292
archiveII_RNaseP_LGW46.bpseq,384,0.9997162,0.92349726,0.69262296,0.69262296,0.9999553,0.79156905,0.7996427416801453
archiveII_telomerase_AY312571.605-1069.bpseq,465,0.99924105,0.3372093,0.31868133,0.31868133,0.9996363,0.32768363,0.32743504643440247
bprna1m_bpRNA_RFAM_36395.bpseq,312,0.9990593,0.36158192,0.2601626,0.2601626,0.9996394,0.30260047,0.3062496483325958
bprnanew_CP007448.1_2213662-2213969.bpseq,308,0.99907845,6.896552e-14,6.9444443e-14,6.9444443e-14,0.9995374,6.920416e-14,-0.00046098773600533605
RNAStrAlign_Syne.spec._TRW-32049.bpseq,396,0.9994579,0.5714286,0.42105263,0.42105263,0.99980855,0.48484847,0.49024930596351624
bprna1m_bpRNA_RFAM_23314.bpseq,395,0.9991135,0.10666667,0.1,0.1,0.9995725,0.10322581,0.10283637791872025
RNAStrAlign_uncu.bact._TRW-135624-3.bpseq,360,0.9996333,0.6902655,0.49367088,0.49367088,0.99988836,0.57564574,0.5835760235786438
RNAStrAlign_Psu.S516-20.bpseq,511,0.9989094,0.4224138,0.5104167,0.5104167,0.9993585,0.46226418,0.46379584074020386
archiveII_tmRNA_Chlo.aura._AY040836_1-361.bpseq,361,0.99980867,0.9111111,0.78846157,0.78846157,0.9999489,0.8453609,0.847477912902832
bprnanew_NC_011547.1_26087-26471.bpseq,385,0.9994515,0.5744681,0.54,0.54,0.9997447,0.556701,0.5566935539245605
archiveII_RNaseP_SM-A04.bpseq,330,0.99987245,0.9875,0.8061224,0.8061224,0.9999936,0.8876404,0.8921557068824768
bprnanew_URS0000D662C0_12908_1-351.bpseq,351,0.99938136,0.36666667,0.6769231,0.6769231,0.9995151,0.47567567,0.49793240427970886
archiveII_RNaseP_A.obstetricans.bpseq,404,0.99950254,0.3560606,0.3983051,0.3983051,0.99972886,0.376,0.3763430118560791
RNAStrAlign_uncu.bact._TRW-135621-3.bpseq,374,0.99992985,0.5217391,1.0,1.0,0.99992985,0.6857143,0.7222898006439209
bprnanew_URS0000D66BF4_12908_1-272.bpseq,272,0.9994994,0.1978022,0.1764706,0.1764706,0.9997671,0.1865285,0.18658240139484406
RNAStrAlign_Nsp-1.L1926.bpseq,435,0.9995185,0.772093,0.619403,0.619403,0.9998436,0.68737066,0.6913135051727295
archiveII_16s_H.sapiens.mito_domain1.bpseq,282,0.99944514,0.27586207,0.10810811,0.10810811,0.999866,0.1553398,0.1724543571472168
TestSetA_345.bpseq,457,0.99878824,0.32960895,0.45736435,0.45736435,0.9992341,0.3831169,0.3876788020133972
bprnanew_URS0000D6D3D4_12908_1-386.bpseq,386,0.9995153,0.44067797,0.3768116,0.3768116,0.9997895,0.40625,0.40725478529930115
RNAStrAlign_Str.S943-2.bpseq,332,0.9994579,0.53571427,0.33707866,0.33707866,0.99983406,0.4137931,0.4246906340122223
bprna1m_bpRNA_RFAM_36297.bpseq,306,0.9995089,0.7848101,0.5081967,0.5081967,0.9998915,0.6169154,0.6313146948814392
TrainSetA_1975.bpseq,486,0.99962693,0.7552239,0.8784722,0.8784722,0.9997383,0.81219906,0.8143386244773865
RNAStrAlign_Cca.cL2262_p1.bpseq,302,0.99973536,0.8616352,0.6919192,0.6919192,0.9999298,0.76750696,0.7720018625259399
TrainSetA_716.bpseq,471,0.9995472,0.72900766,0.72900766,0.72900766,0.9997734,0.72900766,0.7287811040878296
RNAStrAlign_Lse.S1512.bpseq,444,0.9994037,0.63468635,0.6615385,0.6615385,0.99968404,0.6478343,0.6476752161979675
RNAStrAlign_Ety.S1199-1.bpseq,438,0.99955994,0.87222224,0.5772059,0.5772059,0.99992657,0.6946903,0.7093489766120911
RNAStrAlign_Mca.S788.bpseq,325,0.9995408,0.60714287,0.56666666,0.56666666,0.9997894,0.5862069,0.586326539516449
RNAStrAlign_Heli.ganm._DQ250622.bpseq,370,0.9992698,0.21621622,0.14457831,0.14457831,0.9997224,0.17328519,0.17645055055618286
bprna1m_bpRNA_RFAM_14543.bpseq,286,0.9992315,5.91716e-14,1.3888889e-13,1.3888889e-13,0.999461,8.298755e-14,-0.0003518847515806556
bprna1m_bpRNA_RFAM_25554.bpseq,282,0.9991741,1.1235955e-13,5.882353e-14,5.882353e-14,0.99971604,7.722008e-14,-0.0003923944022972137
bprnanew_NC_016996.1_25823-26216.bpseq,394,0.9992347,0.3068182,0.3139535,0.3139535,0.9996108,0.31034485,0.3099825084209442
RNAStrAlign_Cko.cL1931.bpseq,358,0.9995249,0.7037037,0.46568626,0.46568626,0.9998724,0.56047195,0.5722354650497437
RNAStrAlign_Nar.S516_p10.bpseq,347,0.9994515,0.6231884,0.41747573,0.41747573,0.99983406,0.5,0.5098066926002502
bprna1m_bpRNA_RFAM_41239.bpseq,324,0.9990976,0.094736844,0.04368932,0.04368932,0.9997256,0.059800666,0.0639195591211319
bprnanew_NC_006213.1_1-300.bpseq,300,0.9995759,0.2644628,0.42105263,0.42105263,0.9997161,0.3248731,0.3334945738315582
TrainSetA_1870.bpseq,346,0.99984056,0.85858583,0.8854167,0.8854167,0.99991065,0.8717948,0.871818482875824
RNAStrAlign_Ptu.cL2449_p1.bpseq,294,0.99958545,0.7291667,0.40229884,0.40229884,0.99991703,0.5185185,0.5414323806762695
bprnanew_URS0000D662C4_12908_1-471.bpseq,471,0.9988584,0.18,0.3253012,0.3253012,0.9992151,0.23175964,0.2414475679397583
TrainSetA_1895.bpseq,377,0.9996078,0.76502734,0.6363636,0.6363636,0.9998628,0.69478905,0.6975444555282593
bprna1m_bpRNA_RFAM_40280.bpseq,341,0.9992921,0.1884058,0.19117647,0.19117647,0.9996427,0.18978101,0.18943198025226593
bprnanew_NC_032107.1_28063-28362.bpseq,300,0.99944836,0.11042945,0.39130434,0.39130434,0.9995376,0.17224881,0.20766690373420715
RNAStrAlign_Trep.pall._TRW-243276.bpseq,354,0.9995982,0.8358209,0.5185185,0.5185185,0.9999298,0.64000005,0.6581473350524902
RNAStrAlign_Ceu.cL1766.bpseq,343,0.99961734,0.7411765,0.62376237,0.62376237,0.99985963,0.67741936,0.679751992225647
TestSetA_333.bpseq,389,0.9994292,0.5632653,0.6571429,0.6571429,0.9996586,0.60659343,0.6081139445304871
archiveII_telomerase_AF221919.107-614.bpseq,508,0.9988297,0.18118466,0.2826087,0.2826087,0.9992502,0.22080679,0.22572053968906403
TrainSetA_538.bpseq,316,0.9999171,0.96022725,0.89893615,0.89893615,0.99997765,0.9285714,0.9290355443954468
RNAStrAlign_fun_sp-1.S788-1.bpseq,330,0.9994515,0.63265306,0.3131313,0.3131313,0.99988514,0.4189189,0.44485393166542053
bprnanew_NC_016994.1_25677-26064.bpseq,388,0.9993208,0.2733813,0.25333333,0.25333333,0.9996778,0.26297578,0.2628271281719208
RNASTRAND_TMR_00183.bpseq,356,0.99973536,0.80904526,0.7815534,0.7815534,0.99987876,0.79506177,0.7950482964515686
RNAStrAlign_Acid.ferr._TRW-243159.bpseq,364,0.9997194,0.7924528,0.7924528,0.7924528,0.9998596,0.7924529,0.7923124432563782
bprnanew_CP002956.1_3069894-3070175.bpseq,282,0.9992379,0.15841584,0.09411765,0.09411765,0.9997288,0.11808118,0.12174015492200851
RNAStrAlign_Psar.S1512.bpseq,465,0.99939096,0.73846155,0.5070422,0.5070422,0.9998372,0.6012526,0.611624538898468
RNAStrAlign_Cpu.S1506.bpseq,476,0.9986001,0.34013605,0.5033557,0.5033557,0.9990712,0.40595397,0.4131053686141968
bprna1m_bpRNA_RFAM_25043.bpseq,313,0.99978316,0.2682927,0.73333335,0.73333335,0.99980867,0.39285716,0.443483829498291
archiveII_srp_Aero.pern._BA000002.bpseq,304,0.99919003,0.31428573,0.21782178,0.21782178,0.9996937,0.25730994,0.2612515389919281
RNAStrAlign_Pan.mL2449.bpseq,347,0.9993431,0.39325842,0.41666666,0.41666666,0.9996554,0.40462425,0.40446507930755615
RNAStrAlign_Str.S1506-2.bpseq,493,0.9990912,0.501548,0.56643355,0.56643355,0.99948615,0.53201973,0.5325522422790527
TrainSetA_535.bpseq,346,0.9997704,0.815534,0.83168316,0.83168316,0.99987876,0.82352936,0.8234541416168213
bprna1m_bpRNA_RFAM_35732.bpseq,294,0.999544,9.174312e-14,2.9411765e-13,2.9411765e-13,0.9996524,1.3986014e-13,-0.00019416710711084306
RNASTRAND_TMR_00056.bpseq,398,0.9997481,0.9306358,0.70614034,0.70614034,0.99996173,0.8029925,0.810538649559021
bprnanew_URS0000D664B2_12908_1-335.bpseq,335,0.9996397,0.54198474,0.57258064,0.57258064,0.9998086,0.5568628,0.5568926334381104
RNAStrAlign_Lin.S1199-3_p10.bpseq,385,0.9993718,0.60816324,0.596,0.596,0.99969363,0.60202014,0.6017366647720337
bprna1m_bpRNA_RFAM_35753.bpseq,317,0.99942285,6.802721e-14,2.9411765e-13,2.9411765e-13,0.9995312,1.1049723e-13,-0.0002255004656035453
archiveII_RNaseP_M.luteus.bpseq,325,0.9998278,0.9861111,0.73195875,0.73195875,0.9999936,0.84023666,0.8495086431503296
RNAStrAlign_Sba.S1506-3.bpseq,482,0.99953127,0.7423581,0.65891474,0.65891474,0.9998117,0.698152,0.6991608738899231
RNAStrAlign_Psp.S943.bpseq,320,0.9996811,0.9,0.4390244,0.4390244,0.9999745,0.59016395,0.6284664869308472
RNASTRAND_ASE_00126.bpseq,285,0.9998884,0.951049,0.8292683,0.8292683,0.99997765,0.8859934,0.8880199790000916
bprnanew_NC_010800.1_27357-27632.bpseq,276,0.9994834,0.32608697,0.23076923,0.23076923,0.99980223,0.2702703,0.27406713366508484
RNASTRAND_TMR_00124.bpseq,376,0.9997768,0.85795456,0.77040815,0.77040815,0.99992025,0.811828,0.8128936886787415
bprna1m_bpRNA_RFAM_36242.bpseq,270,0.9997066,0.84,0.6494845,0.6494845,0.9999234,0.7325581,0.7384861707687378
RNAStrAlign_M.sedula.bpseq,304,0.9995727,0.5897436,0.3108108,0.3108108,0.9998979,0.40707967,0.4279455840587616
RNAStrAlign_Spu.L1926.bpseq,450,0.99939096,0.6466431,0.6678832,0.6678832,0.9996808,0.65709156,0.6568727493286133
TrainSetA_1458.bpseq,448,0.9988584,0.35597825,0.51984125,0.51984125,0.9992437,0.42258066,0.4296305775642395
TestSetA_489.bpseq,325,0.9996237,0.64761907,0.75555557,0.75555557,0.9997639,0.6974359,0.6993234157562256
RNAStrAlign_Cni.cL2593.bpseq,320,0.99959505,0.71428573,0.5163044,0.5163044,0.99987876,0.5993691,0.6070878505706787
"RNAStrAlign_Pma.m.COX1,5_p1.bpseq",271,0.9998788,0.98125,0.8177083,0.8177083,0.9999904,0.89204544,0.8956984281539917
TrainSetA_64.bpseq,347,0.9992793,0.3188406,0.25,0.25,0.99970007,0.28025478,0.28197404742240906
RNAStrAlign_Cpil.S516_p10.bpseq,315,0.9996588,0.7013575,0.7908163,0.7908163,0.9997894,0.7434053,0.7445762753486633
TrainSetA_2181.bpseq,344,0.9998916,0.94505495,0.877551,0.877551,0.9999681,0.91005296,0.9106242656707764
RNAStrAlign_chla_sp.S516.bpseq,409,0.99941325,0.66233766,0.43589744,0.43589744,0.99983406,0.52577317,0.5370455384254456
RNAStrAlign_Che-2.nS516_p1.bpseq,374,0.9994834,0.73655915,0.548,0.548,0.9998436,0.6284404,0.6350761651992798
bprna1m_bpRNA_RFAM_18464.bpseq,372,0.9993176,0.24705882,0.328125,0.328125,0.99959165,0.2818792,0.28438594937324524
bprnanew_BX950851.1_1367508-1367020.bpseq,489,0.9988935,0.38408303,0.39642859,0.39642859,0.9994319,0.39015818,0.38965338468551636
RNAStrAlign_Baci.mega._TRW-1404.bpseq,360,0.9994675,0.49541286,0.3253012,0.3253012,0.9998245,0.3927273,0.4011923372745514
RNAStrAlign_Thi.S989_p10.bpseq,402,0.99962056,0.86243385,0.63671875,0.63671875,0.99991703,0.73258424,0.7408558130264282
archiveII_srp_Meth.ther._AE000666.bpseq,310,0.99974173,0.877095,0.7268519,0.7268519,0.9999298,0.7949367,0.7983230948448181
RNAStrAlign_Pseu.fluo._AY911520.bpseq,395,0.99947065,0.57377046,0.38043478,0.38043478,0.99983406,0.4575163,0.4669569134712219
TrainSetA_689.bpseq,467,0.99958545,0.78346455,0.72627735,0.72627735,0.99982446,0.7537879,0.7541228532791138
bprnanew_URS0000D6B84D_12908_1-271.bpseq,271,0.999442,0.13274336,0.16304348,0.16304348,0.99968743,0.14634146,0.1468382477760315
bprnanew_BX936398.1_1496219-1496557.bpseq,339,0.9992889,0.2857143,0.11578947,0.11578947,0.9998245,0.16479401,0.1815781146287918
RNASTRAND_CRW_00643.bpseq,497,0.99927294,0.525641,0.6721311,0.6721311,0.9995277,0.58992803,0.5940369367599487
bprna1m_bpRNA_RFAM_18623.bpseq,351,0.99967796,0.2962963,0.8695652,0.8695652,0.999697,0.44198895,0.5074865221977234
bprna1m_bpRNA_CRW_7493.bpseq,316,0.9998852,0.8908046,0.9011628,0.9011628,0.9999394,0.8959537,0.8959112763404846
TrainSetA_2076.bpseq,293,0.9995249,0.27906978,0.092307694,0.092307694,0.9999011,0.13872832,0.160305917263031
TrainSetA_2883.bpseq,290,0.99942285,0.5219512,0.5631579,0.5631579,0.9996873,0.5417722,0.5418751239776611
bprna1m_bpRNA_RFAM_39966.bpseq,389,0.99919325,6.711409e-14,9.6153845e-14,9.6153845e-14,0.9995247,7.905138e-14,-0.0003971082915086299
TrainSetA_564.bpseq,508,0.9997066,0.79714286,0.93,0.93,0.9997734,0.85846156,0.8608716130256653
RNAStrAlign_Eca.S1506-1.bpseq,500,0.99925065,0.5498282,0.6060606,0.6060606,0.99958193,0.5765766,0.576886773109436
RNAStrAlign_Msp-1.cL1931_p10.bpseq,339,0.99962056,0.8455285,0.50980395,0.50980395,0.9999394,0.6360857,0.6563839316368103
"RNAStrAlign_RB3.v.nrdB,1_p10.bpseq",278,0.999713,0.8181818,0.5625,0.5625,0.99993616,0.6666667,0.6782694458961487
TrainSetA_1648.bpseq,375,0.9991135,0.34513274,0.375,0.375,0.99952775,0.35944703,0.35931381583213806
RNAStrAlign_List.wels._TRW-1643.bpseq,370,0.999544,0.6637168,0.41666666,0.41666666,0.99987876,0.51194537,0.5256697535514832
archiveII_srp_Dros.yaku._GSP-7245.bpseq,302,0.9996237,0.85,0.5049505,0.5049505,0.99994254,0.6335404,0.654979407787323
TestSetA_499.bpseq,434,0.99933356,0.55123675,0.6554622,0.6554622,0.9995947,0.5988484,0.6007661819458008
RNAStrAlign_Xsp-1.S516_p1.bpseq,351,0.9994994,0.65700483,0.6126126,0.6126126,0.99977344,0.63403267,0.6341707706451416
bprna1m_bpRNA_RFAM_16639.bpseq,357,0.9990338,0.1965812,0.09913793,0.09913793,0.9997,0.13180515,0.1391538381576538
archiveII_RNaseP_ESH26-4.bpseq,281,0.9998788,0.86585367,0.89873415,0.89873415,0.9999298,0.8819875,0.8820802569389343
bprna1m_bpRNA_RFAM_3478.bpseq,322,0.99958867,0.31325302,0.26530612,0.26530612,0.9998182,0.2872928,0.28808000683784485
RNAStrAlign_LGB23.bpseq,347,0.9995759,0.66013074,0.55494505,0.55494505,0.99983406,0.6029851,0.6050482392311096
RNAStrAlign_ESH30-3.bpseq,318,0.99964607,0.65806454,0.6375,0.6375,0.9998309,0.64761907,0.6475237011909485
bprna1m_bpRNA_RFAM_5058.bpseq,338,0.99950576,0.5555556,0.38690478,0.38690478,0.9998341,0.45614037,0.4633873701095581
bprna1m_bpRNA_RFAM_41833.bpseq,279,0.9994611,0.17977528,0.14285715,0.14285715,0.9997671,0.15920399,0.15998952090740204
bprnanew_URS0000D6AC53_12908_1-397.bpseq,397,0.99933034,0.3137255,0.18604651,0.18604651,0.99977666,0.23357664,0.24127677083015442
archiveII_tmRNA_Myco.pene._BA000026_1-405.bpseq,405,0.9996365,0.7916667,0.5163044,0.5163044,0.99992025,0.62500006,0.6391645073890686
bprnanew_URS0000D6CD5F_12908_1-320.bpseq,320,0.9994611,0.24309392,0.57894737,0.57894737,0.99956304,0.34241247,0.37493106722831726
archiveII_RNaseP_G.sulfurreducens.bpseq,367,0.99985015,0.9302326,0.86206895,0.86206895,0.99995214,0.8948546,0.8954284191131592
bprna1m_bpRNA_RFAM_25550.bpseq,269,0.99947065,0.12676056,0.3,0.3,0.9996045,0.17821783,0.1947765350341797
RNAStrAlign_Baci.subt._TRW-1423.bpseq,363,0.9998629,0.9005525,0.86702126,0.86702126,0.99994254,0.8834688,0.8835594654083252
bprna1m_bpRNA_RFAM_42606.bpseq,287,0.9992347,1.2820513e-13,6.1728393e-14,6.1728393e-14,0.99975115,8.333333e-14,-0.00035858736373484135
RNAStrAlign_Cka.L1921.bpseq,352,0.99956316,0.7819549,0.49056605,0.49056605,0.99990743,0.60289854,0.6191600561141968
RNAStrAlign_Ento.sulc._AF095839.bpseq,318,0.9994643,0.64285713,0.5,0.5,0.99980855,0.5625,0.56668621301651
RNAStrAlign_Legi.pneu._CR628337.bpseq,406,0.99965245,0.79856116,0.578125,0.578125,0.99991065,0.6706949,0.6792992353439331
bprna1m_bpRNA_RFAM_34189.bpseq,268,0.99961096,0.575,0.3432836,0.3432836,0.9998915,0.42990655,0.4441051483154297
bprna1m_bpRNA_RFAM_26828.bpseq,296,0.9991709,0.050847456,0.038961038,0.038961038,0.99964267,0.044117644,0.04409847408533096
RNAStrAlign_Tle.S891-1.bpseq,403,0.9995982,0.71348315,0.6287129,0.6287129,0.9998373,0.6684211,0.6695591807365417
TrainSetA_2187.bpseq,485,0.999375,0.5377358,0.27941176,0.27941176,0.99984366,0.36774194,0.3873431384563446
RNAStrAlign_Eca.S1199-1.bpseq,391,0.99927616,0.5187166,0.41452992,0.41452992,0.9997128,0.4608076,0.4633502960205078
